l
52
81
103
124
144
158
175
189
204
218
230
244
256
267
279
290
301
313
325
336
344
356
368
376
387
396
408
416
425
433
445
454
462
471
480
488
497
502
511
520
525
534
542
549
557
563
568
577
583
588
594
602
609
614
620
626
631
637
643
649
654
660
666
671
674
680
686
692
695
700
706
709
714
717
723
726
732
735
740
743
746
752
755
757
764
766
769
772
778
781
783
786
789
792
798
800
803
807
809
812
815
818
818
821
824
826
829
832
832
835
838
841
841
843
843
846
850
852
852
855
855
858
861
861
864
864
867
867
869
869
872
872
876
876
878
878
878
881
881
881
884
884
884
884
886
886
886
886
886
890
890
890
890
890
890
890
890
890
890
890
890
890
890
890
890
890
890
890
890
886
886
886
886
886
884
884
884
881
881
881
878
878
878
876
876
876
878
878
878
878
878
878
881
881
881
881
881
881
884
884
884
884
884
884
886
886
886
886
886
886
890
890
890
890
890
890
893
893
893
893
893
893
895
895
895
895
895
895
898
898
898
898
898
898
901
901
901
901
901
904
904
904
904
904
904
904
904
904
904
904
904
904
907
907
907
907
904
904
904
904
904
904
904
904
904
904
904
904
901
901
901
901
898
898
898
898
895
895
895
893
893
890
890
890
886
886
884
884
881
881
878
878
876
872
872
869
867
867
864
864
861
861
861
861
861
861
864
864
864
864
864
867
867
867
869
869
869
869
872
872
876
876
878
878
878
881
881
884
884
886
890
890
893
895
898
901
904
904
907
910
912
912
915
919
921
924
924
927
929
933
933
936
938
941
944
944
947
950
953
953
955
958
962
964
964
967
970
972
976
976
979
984
987
990
993
996
998
1001
1005
1007
1010
1013
1013
1016
1019
1019
1022
1022
1024
1024
1024
1024
1024
1024
1024
1024
1024
1024
1024
1024
1024
1024
1024
1024
1022
1022
1019
1016
1016
1013
1013
1010
1007
1005
1005
1001
998
996
993
987
984
981
976
970
962
953
947
941
938
936
933
929
929
927
927
924
924
924
921
921
921
921
921
921
921
921
921
921
921
921
921
921
921
921
921
921
921
924
924
924
924
927
927
929
929
929
933
933
933
936
936
936
936
936
936
933
933
929
927
927
924
921
919
912
910
907
904
898
895
890
886
881
876
872
867
861
864
872
881
890
895
898
901
904
907
907
910
910
912
912
912
912
912
915
915
912
912
912
912
910
910
907
904
901
898
895
893
893
890
886
886
884
884
884
881
881
881
881
881
878
878
881
881
881
881
881
884
884
886
890
890
893
893
893
893
895
895
895
895
895
895
895
895
895
895
895
893
893
893
893
893
893
893
893
890
890
890
890
886
886
886
884
884
884
881
881
878
878
876
872
872
869
867
864
864
861
855
852
850
843
841
835
680
660
645
633
626
609
594
583
574
563
554
549
540
534
528
523
516
511
505
502
497
494
488
485
482
480
473
471
468
465
462
459
459
456
454
451
448
448
445
442
442
439
439
437
433
433
433
430
430
428
428
425
425
425
422
422
422
419
419
416
416
416
413
413
413
411
411
408
408
408
405
405
405
402
402
402
399
399
399
396
396
394
394
394
390
390
390
387
387
387
385
385
385
382
382
382
382
379
379
379
376
376
376
373
373
373
373
370
370
370
370
368
368
368
368
365
365
365
365
365
362
362
362
362
362
362
362
362
359
359
359
359
359
359
359
359
359
359
359
359
359
359
359
359
359
362
362
362
362
362
362
362
365
365
365
368
368
370
373
376
376
379
382
382
385
387
387
390
394
394
396
396
399
399
402
405
405
408
408
411
411
413
413
416
416
416
419
419
422
422
422
425
425
428
428
430
430
433
437
437
439
442
442
445
448
448
451
454
454
456
456
459
462
462
465
468
471
471
473
476
476
480
482
482
485
488
488
491
494
497
497
499
502
505
505
508
511
514
514
516
520
523
525
525
528
531
534
537
540
542
545
549
551
554
557
559
566
568
574
577
580
580
583
585
588
588
592
592
594
597
600
600
602
602
606
606
609
